Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
6000,1770,"LPD DISP","D","Loudonville Police Dispatch","Law Dispatch","Ashland County (03)"
6001,1771,"SC03EMER","D","Countywide School Emergency","Emergency Ops","Ashland County (03)"
6002,1772,"03ASPDSP","D","Ashland (City) Police Dispatch","Law Dispatch","Ashland County (03)"
6004,1774,"FD03PAGE","D","Fire Paging","Fire Dispatch","Ashland County (03)"
6015,177f,"AFD0301","D","Ashland (City) Fire Dispatch","Fire Dispatch","Ashland County (03)"
6019,1783,"AFD03PAGE","D","Ashland (City) Fire Paging","Fire Dispatch","Ashland County (03)"
6021,1785,"FD03DISP","D","Fire Dispatch","Fire Dispatch","Ashland County (03)"
6024,1788,"FD03OPS1","D","Fire Operations 1","Fire-Tac","Ashland County (03)"
6033,1791,"FD03TAC3","D","Fire Tac 3","Fire-Tac","Ashland County (03)"
6036,1794,"FD03TAC4","D","Fire Tac 4","Fire-Tac","Ashland County (03)"
6044,179c,"03LOFOPS","D","Loudonville Fire Operations","Fire-Tac","Ashland County (03)"
6501,1965,"FD04CON","D","Conneaut Fire Department","Fire-Tac","Ashtabula County (04)"
6502,1966,"FD04WRT","D","Water Rescue Team","Fire-Tac","Ashtabula County (04)"
6503,1967,"FD04DSP","D","Fire Dispatch","Fire Dispatch","Ashtabula County (04)"
6505,1969,"AD04008","D","Pymatuning Ambulance Service Admin","EMS-Talk","Ashtabula County (04)"
6506,196a,"PD04DISP","D","Village Police Dispatch","Law Dispatch","Ashtabula County (04)"
6507,196b,"FD04TAC1","D","Fire Tactical 1","Fire-Tac","Ashtabula County (04)"
6508,196c,"NKNG-PD","D","North Kingsville Police Dispatch","Law Dispatch","Ashtabula County (04)"
6509,196d,"EM04010","D","South Central Ambulance District operations","EMS-Tac","Ashtabula County (04)"
6511,196f,"FD04TAC2","D","Fire Tactical 2","Fire-Tac","Ashtabula County (04)"
6513,1971,"AD04010","D","South Central Ambulance District Admin","EMS-Talk","Ashtabula County (04)"
6514,1972,"FD04ASH2","D","Ashtabula (City) Fire Department Ch .2","Fire-Tac","Ashtabula County (04)"
6515,1973,"FD04TAC3","D","Fire Tactical 3","Fire-Tac","Ashtabula County (04)"
6517,1975,"EM04012","D","Jefferson Emergency Rescue District operations","EMS-Tac","Ashtabula County (04)"
6518,1976,"EM04006","D","Northwest Ambulance District operations","EMS-Tac","Ashtabula County (04)"
6520,1978,"FD04TAC4","D","Fire Tactical 4","Fire-Tac","Ashtabula County (04)"
6521,1979,"AD04012","D","Jefferson Emergency Rescue District Admin","EMS-Talk","Ashtabula County (04)"
6522,197a,"AD04006","D","Northwest Ambulance District Admin","EMS-Talk","Ashtabula County (04)"
6523,197b,"FD04ASH1","D","Ashtabula (City) Fire Department Ch. 1","Fire-Tac","Ashtabula County (04)"
6524,197c,"FD04TAC5","D","Fire Tactical 5","Fire-Tac","Ashtabula County (04)"
6526,197e,"FD04TAC6","D","Fire Tactical 6","Fire-Tac","Ashtabula County (04)"
6527,197f,"EMS04TC1","D","EMS Tactical 1","EMS-Tac","Ashtabula County (04)"
6528,1980,"04ORVILG","D","Orwell Village","Interop","Ashtabula County (04)"
6529,1981,"GOTL FD","D","Geneva on the Lake FD","Fire-Tac","Ashtabula County (04)"
6530,1982,"WTWPFD","D","Windsor Twp FD","Fire-Tac","Ashtabula County (04)"
6531,1983,"GENEVAPD","D","Geneva Police Dispatch","Law Dispatch","Ashtabula County (04)"
6533,1985,"GOTL PS","D","Geneva on the Lake Public Safety","Interop","Ashtabula County (04)"
6536,1988,"04-CCAN","D","Community Care Ambulance - Ashtabula","EMS Dispatch","Ashtabula County (04)"
6843,1abb,"PD04CNPD","D","Conneaut Police Dispatch","Law Dispatch","Ashtabula County (04)"
7000,1b58,"ATHN-SD","DE","Tri-County Career Center - Daily operations","Schools","Athens County (05)"
7001,1b59,"NLSNVL FIRE","D","Nelsonville Fire Dispatch","Fire Dispatch","Athens County (05)"
7002,1b5a,"ATHN-SDA","DE","Tri-County Career Center - Alternate","Schools","Athens County (05)"
7007,1b5f,"ATHENS FD","D","Athens (City) Fire Dispatch","Fire Dispatch","Athens County (05)"
7008,1b60,"HAPCAP 1","D","Hocking-Athens-Perry Community Action Program Ch.1","Transportation","Athens County (05)"
7014,1b66,"HAPCAP 2","D","Hocking-Athens-Perry Community Action Program Ch.2","Transportation","Athens County (05)"
7018,1b6a,"05EMSDISP","D","Athens County EMS Dispatch","EMS Dispatch","Athens County (05)"
7019,1b6b,"ALBANY PD","D","Albany Police","Law Dispatch","Athens County (05)"
7020,1b6c,"ATHENS PD","D","Athens (City) Police","Law Dispatch","Athens County (05)"
7022,1b6e,"NLSNVL PD","D","Nelsonville Police Dispatch","Law Dispatch","Athens County (05)"
7025,1b71,"HOCK COLG PD","D","Hocking College Police (Nelsonville)","Law Dispatch","Athens County (05)"
7026,1b72,"OUATHPD DSP","D","Ohio University Police","Law Dispatch","Athens County (05)"
7035,1b7b,"OUATHPD TAC","D","Ohio University Police Tac","Law Tac","Athens County (05)"
7042,1b82,"05 CO ENG","D","Athens County Engineer","Public Works","Athens County (05)"
7502,1d4e,"06FD140PAGE","D","St. Mary's Fire/EMS Paging","Fire Dispatch","Auglaize County (06)"
7505,1d51,"06 SCH EMERG","D","School Emergency","Emergency Ops","Auglaize County (06)"
7509,1d55,"FD06PAGE","D","Auglaize FD/EMS Paging","Fire Dispatch","Auglaize County (06)"
7512,1d58,"06FD OPS1","D","Fire/EMS Operations 1","Fire-Tac","Auglaize County (06)"
7515,1d5b,"06FD WEST","D","Fire/EMS West Dispatch","Fire Dispatch","Auglaize County (06)"
7521,1d61,"WAPAK PDISP","D","Wapakoneta Police Dispatch","Law Dispatch","Auglaize County (06)"
7524,1d64,"STMARYSPD","D","St. Marys Police Dispatch","Law Dispatch","Auglaize County (06)"
7525,1d65,"06FD EAST","D","Fire/EMS East Dispatch","Fire Dispatch","Auglaize County (06)"
7526,1d66,"06FD SOUTH","D","Fire/EMS South Dispatch","Fire Dispatch","Auglaize County (06)"
7527,1d67,"06PD EAST","D","Police East","Law Dispatch","Auglaize County (06)"
7528,1d68,"06PD WEST","D","Police West","Law Dispatch","Auglaize County (06)"
7529,1d69,"WAPAK EMS","D","Wapakoneta EMS","EMS Dispatch","Auglaize County (06)"
7532,1d6c,"06FD OPS3","D","Fire/EMS Operations 3","Fire-Tac","Auglaize County (06)"
7533,1d6d,"06 FD OPS 4","D","Fire/EMS Operations 4","Fire-Tac","Auglaize County (06)"
8007,1f47,"SUNHTS BUP","D","Sunset Heights VFD (backup)","Fire-Tac","Belmont County (07)"
8044,1f6c,"SHDYSD BUP","D","Shadyside VFD (backup)","Fire-Tac","Belmont County (07)"
8500,2134,"CMD08-1","D","Countywide Command 1","Interop","Brown County (08) Common"
8501,2135,"FD08DSP","D","County Fire/EMS Dispatch","Fire Dispatch","Brown County (08) Fire/EMS/Hospitals"
8502,2136,"PD08OPS","D","Countywide Law Enforcement Operations","Interop","Brown County (08) Law Enforcement"
8503,2137,"ABE-08","D","Aberdeen Police Local","Law Talk","Brown County (08) Law Enforcement"
8504,2138,"CMD08-2","D","Countywide Command 2","Interop","Brown County (08) Common"
8505,2139,"FG08-1","D","County Fire Ground 1","Fire-Tac","Brown County (08) Fire/EMS/Hospitals"
8506,213a,"PD08TC1","D","County Law Enforcement Tac 1","Law Tac","Brown County (08) Law Enforcement"
8507,213b,"FAY-08","D","Fayetteville Police Local","Law Talk","Brown County (08) Law Enforcement"
8508,213c,"CMD08-3","D","Countywide Command 3","Interop","Brown County (08) Common"
8509,213d,"FG08-2","D","County Fire Ground 2","Fire-Tac","Brown County (08) Fire/EMS/Hospitals"
8510,213e,"PD08TC2","D","County Law Enforcement Tac 2","Law Tac","Brown County (08) Law Enforcement"
8511,213f,"GEO-08","D","Georgetown Police Local","Law Talk","Brown County (08) Law Enforcement"
8512,2140,"CMD08-4","D","Countywide Command 4","Interop","Brown County (08) Common"
8513,2141,"FD08OPS","D","Countywide Fire/EMS Operations","Fire-Tac","Brown County (08) Fire/EMS/Hospitals"
8514,2142,"PD08CAR","D","County Law Enforcement Car to Car","Law Talk","Brown County (08) Law Enforcement"
8515,2143,"BYRDTWP","D","Byrd Township Fire Local","Fire-Talk","Brown County (08) Fire/EMS/Hospitals"
8516,2144,"HAM-08","D","Hamersville Police Local","Law Talk","Brown County (08) Law Enforcement"
8517,2145,"LAW08DP","D","County Law Enforcement Dispatch","Law Dispatch","Brown County (08) Law Enforcement"
8518,2146,"SC08EMG","D","Countywide School Emergency Radios","Emergency Ops","Brown County (08) Common"
8520,2148,"MTO-08","D","Mount Orab Police Local 1","Law Talk","Brown County (08) Law Enforcement"
8522,214a,"LAKWAYN","D","Lake Waynoka Rangers Local","Law Talk","Brown County (08) Law Enforcement"
8524,214c,"MTORAB","D","Mount Orab Fire Local","Fire-Talk","Brown County (08) Fire/EMS/Hospitals"
8528,2150,"MTO3-08","D","Mount Orab Police Local 3","Law Talk","Brown County (08) Law Enforcement"
8532,2154,"RIP-08","D","Ripley Police Local","Law Talk","Brown County (08) Law Enforcement"
8536,2158,"RUS-08","D","Russellville Police Local","Law Talk","Brown County (08) Law Enforcement"
8539,215b,"COMMCTR-08","D","County Communications Center","Interop","Brown County (08) Common"
8541,215d,"SAR-08","D","Sardinia Police Local","Law Talk","Brown County (08) Law Enforcement"
8543,215f,"08COENG","D","Engineer's Office","Public Works","Brown County (08) Local Government/Public Works"
8547,2163,"FG08-3","D","County Fire Ground 3","Fire-Tac","Brown County (08) Fire/EMS/Hospitals"
8552,2168,"XFG08-4","D","County Fire Ground 4","Fire-Tac","Brown County (08) Fire/EMS/Hospitals"
8556,216c,"FAYTVLE","D","Fayetteville Fire Local","Fire-Talk","Brown County (08) Fire/EMS/Hospitals"
8559,216f,"MTOCMN","D","Mount Orab Fire-Law Enforcement Common","Interop","Brown County (08) Common"
8561,2171,"SARDNA","D","Sardinia Fire Local","Fire-Talk","Brown County (08) Fire/EMS/Hospitals"
8563,2173,"GEORTWN","D","Georgetown Fire Local","Fire-Talk","Brown County (08) Fire/EMS/Hospitals"
8566,2176,"RUSLLVL","D","Russellville Fire Local","Fire-Talk","Brown County (08) Fire/EMS/Hospitals"
8570,217a,"HUNTABR","D","Aberdeen-Huntington Township Fire Local","Fire-Talk","Brown County (08) Fire/EMS/Hospitals"
8574,217e,"RIPLEY","D","Ripley Fire Local","Fire-Talk","Brown County (08) Fire/EMS/Hospitals"
8578,2182,"HAMRVLE","D","Hamersville-Clark Township Fire Local","Fire-Talk","Brown County (08) Fire/EMS/Hospitals"
8583,2187,"HIGSPRT","D","Higginsport Fire Local","Fire-Talk","Brown County (08) Fire/EMS/Hospitals"
9000,2328,"09 HELP","D","Emergency Calling to COM PSAPs","Emergency Ops","Butler County (09) Common"
9001,2329,"09 Event 01","D","Event 01","Interop","Butler County (09) Common"
9002,232a,"09 Event 02","D","Event 02","Interop","Butler County (09) Common"
9003,232b,"09 Event 03","D","Event 03","Interop","Butler County (09) Common"
9004,232c,"09 Event 04","D","Event 04","Interop","Butler County (09) Common"
9005,232d,"09 MA  05","D","Mutual Aid 05","Interop","Butler County (09) Common"
9006,232e,"09 MA  06","D","Mutual Aid 06","Interop","Butler County (09) Common"
9007,232f,"09 MA  07","D","Mutual Aid 07","Interop","Butler County (09) Common"
9008,2330,"09 MA  08","D","Mutual Aid 08","Interop","Butler County (09) Common"
9009,2331,"09 MA  09","D","Mutual Aid 09","Interop","Butler County (09) Common"
9010,2332,"09 MA  10","D","Mutual Aid 10","Interop","Butler County (09) Common"
9011,2333,"09 MA  11","D","Mutual Aid 11","Interop","Butler County (09) Common"
9012,2334,"09 MA  12","D","Mutual Aid 12","Interop","Butler County (09) Common"
9013,2335,"09 MA  13","D","Mutual Aid 13","Interop","Butler County (09) Common"
9014,2336,"09 MA  14","D","Mutual Aid 14","Interop","Butler County (09) Common"
9015,2337,"09 MA  15","D","Mutual Aid 15","Interop","Butler County (09) Common"
9016,2338,"09 MA  16","D","Mutual Aid 16","Interop","Butler County (09) Common"
9017,2339,"09 ODNR","D","County ODNR Interop","Interop","Butler County (09) Common"
9018,233a,"09 IPSAP","DE","Countywide Access Point","Emergency Ops","Butler County (09) Common"
9020,233c,"09 CALL","D","Calling Countywide to Dispatch Centers","Interop","Butler County (09) Common"
9021,233d,"09 TALK","D","Talk Countywide to dispatch centers","Multi-Dispatch","Butler County (09) Common"
9022,233e,"68 IPSAP","DE","Preble County IPSAP","Interop","Butler County (09) Common"
9023,233f,"09 81 PTG","DE","Butler to Union County (IN) PTG","Interop","Butler County (09) Common"
9024,2340,"IN81 PSAP","DE","Butler to Union County (IN) IPSAP","Interop","Butler County (09) Common"
9025,2341,"09 TAC 05","DE","Emergency Services Tac 05","Emergency Ops","Butler County (09) Common"
9026,2342,"09 TAC 06","DE","Emergency Services Tac 06","Emergency Ops","Butler County (09) Common"
9027,2343,"09 TAC 07","DE","Emergency Services Tac 07","Emergency Ops","Butler County (09) Common"
9028,2344,"09 TAC 08","DE","Emergency Services Tac 08","Emergency Ops","Butler County (09) Common"
9029,2345,"09 TAC 09","DE","Emergency Services Tac 09","Emergency Ops","Butler County (09) Common"
9030,2346,"09 TAC 10","DE","Emergency Services Tac 10","Emergency Ops","Butler County (09) Common"
9031,2347,"09 TAC 11","DE","Emergency Services Tac 11","Emergency Ops","Butler County (09) Common"
9032,2348,"09 TAC 12","DE","Emergency Services Tac 12","Emergency Ops","Butler County (09) Common"
9033,2349,"09 TAC 13","DE","Emergency Services Tac 13","Emergency Ops","Butler County (09) Common"
9034,234a,"09 TAC 14","DE","Emergency Services Tac 14","Emergency Ops","Butler County (09) Common"
9035,234b,"09 TAC 15","DE","Emergency Services Tac 15","Emergency Ops","Butler County (09) Common"
9036,234c,"09 TAC 16","DE","Emergency Services Tac 16","Emergency Ops","Butler County (09) Common"
9037,234d,"09 GSC MAIN","DE","Court Security Main","Corrections","Butler County (09) Law"
9038,234e,"09 GSC 06","DE","Court Security OPS 6","Corrections","Butler County (09) Law"
9040,2350,"09 LE INFO","D","Law Info - All County Broadcast","Law Dispatch","Butler County (09) Law"
9041,2351,"09 JAIL Main","DE","County Jail Primary","Corrections","Butler County (09) Law"
9042,2352,"09 JAIL Ops","DE","County Jail Operations","Corrections","Butler County (09) Law"
9044,2354,"09 JAIL Call","D","County Jail Calling","Corrections","Butler County (09) Law"
9045,2355,"09 LAW 05","DE","Law Enforcement Tac 05","Law Tac","Butler County (09) Law"
9046,2356,"09 LAW 06","DE","Law Enforcement Tac 06","Law Tac","Butler County (09) Law"
9047,2357,"09 LAW 07","DE","Law Enforcement Tac 07","Law Tac","Butler County (09) Law"
9048,2358,"09 LAW 08","DE","Law Enforcement Tac 08","Law Tac","Butler County (09) Law"
9049,2359,"09 LAW 09","DE","Law Enforcement Tac 09","Law Tac","Butler County (09) Law"
9050,235a,"09 LAW 10","DE","Law Enforcement Tac 10","Law Tac","Butler County (09) Law"
9051,235b,"09 LAW 11","DE","Law Enforcement Tac 11","Law Tac","Butler County (09) Law"
9052,235c,"09 LAW 12","DE","Law Enforcement Tac 12","Law Tac","Butler County (09) Law"
9053,235d,"09 LAW 13","DE","Law Enforcement Tac 13","Law Tac","Butler County (09) Law"
9054,235e,"09 LAW 14","DE","Law Enforcement Tac 14","Law Tac","Butler County (09) Law"
9055,235f,"09 LAW 15","DE","Law Enforcement Tac 15","Law Tac","Butler County (09) Law"
9056,2360,"09 LAW 16","DE","Law Enforcement Tac 16","Law Tac","Butler County (09) Law"
9057,2361,"09 BRICS 1","D","BRICS Radio Technicians to Comm 9","Multi-Talk","Butler County (09) Local Government/Public Works "
9058,2362,"09 BRICS 2","DE","BRICS  Radio Technicians 2","Multi-Talk","Butler County (09) Local Government/Public Works "
9060,2364,"09 FD INFO","D","Fire Info - All County Broadcast","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9065,2369,"09 FIRE 05","D","Fireground 5","Fire-Tac","Butler County (09) Fire/EMS/Hospitals"
9066,236a,"09 FIRE 06","D","Fireground 6","Fire-Tac","Butler County (09) Fire/EMS/Hospitals"
9067,236b,"09 FIRE 07","D","Fireground 7","Fire-Tac","Butler County (09) Fire/EMS/Hospitals"
9068,236c,"09 FIRE 08","D","Fireground 8","Fire-Tac","Butler County (09) Fire/EMS/Hospitals"
9069,236d,"09 FIRE 09","D","Fireground 9","Fire-Tac","Butler County (09) Fire/EMS/Hospitals"
9070,236e,"09 FIRE 10","D","Fireground 10","Fire-Tac","Butler County (09) Fire/EMS/Hospitals"
9071,236f,"09 FIRE 11","D","Fireground 11","Fire-Tac","Butler County (09) Fire/EMS/Hospitals"
9072,2370,"09 FIRE 12","D","Fireground 12","Fire-Tac","Butler County (09) Fire/EMS/Hospitals"
9073,2371,"09 FIRE 13","D","Fireground 13","Fire-Tac","Butler County (09) Fire/EMS/Hospitals"
9074,2372,"09 FIRE 14","D","Fireground 14","Fire-Tac","Butler County (09) Fire/EMS/Hospitals"
9075,2373,"09 FIRE 15","D","Fireground 15","Fire-Tac","Butler County (09) Fire/EMS/Hospitals"
9076,2374,"09 FIRE 16","D","Fireground 16","Fire-Tac","Butler County (09) Fire/EMS/Hospitals"
9077,2375,"09 EMA 5","D","Emergency Management 5","Emergency Ops","Butler County (09) Local Government/Public Works "
9078,2376,"09 EMA 6","DE","Emergency Management 6","Emergency Ops","Butler County (09) Local Government/Public Works "
9079,2377,"09-9 DELTA","D","Law Enforcement Admin Unit Dispatch","Law Dispatch","Butler County (09) Law"
9081,2379,"09 ER TALK","D","ER Talk","Hospital","Butler County (09) Fire/EMS/Hospitals"
9082,237a,"09 ATRIUM","D","Atrium Medical Center  Middletown","Hospital","Butler County (09) Fire/EMS/Hospitals"
9083,237b,"09 BETH BC","D","Bethesda Butler","Hospital","Butler County (09) Fire/EMS/Hospitals"
9084,237c,"09 KHN HAM","D","Kettering Health Network (KHN)  - Hamilton","Hospital","Butler County (09) Fire/EMS/Hospitals"
9085,237d,"09 LIB CHLD","D","Liberty Childrens","Hospital","Butler County (09) Fire/EMS/Hospitals"
9086,237e,"09 MERCY","D","Mercy Hospital Fairfield","Hospital","Butler County (09) Fire/EMS/Hospitals"
9087,237f,"09 McHYDE","D","McCullogh-Hyde Hospital Oxford","Hospital","Butler County (09) Fire/EMS/Hospitals"
9088,2380,"09 WCHOSP","D","West Chester Hospital","Hospital","Butler County (09) Fire/EMS/Hospitals"
9089,2381,"09 CHRIST","D","The Christ Hospital Medical Center (Liberty Twp)","Hospital","Butler County (09) Fire/EMS/Hospitals"
9090,2382,"09 KHN MIDD","D","Ketteriing Health Network (KHN) - Middletown","Hospital","Butler County (09) Fire/EMS/Hospitals"
9091,2383,"09 HOSP 11","D","Hospital Common 11","Hospital","Butler County (09) Fire/EMS/Hospitals"
9092,2384,"HSR 3-MCI","D","Homeland Security Region 3 - Mass Casualty Incident","Hospital","Butler County (09) Fire/EMS/Hospitals"
9093,2385,"HSR 6-MCI","D","Homeland Security Region 6 - Mass Casualty Incident","Hospital","Butler County (09) Fire/EMS/Hospitals"
9094,2386,"09 ER SEC","DE","All Hospitals and EMS Units Encrypted","Hospital","Butler County (09) Fire/EMS/Hospitals"
9095,2387,"09 ER ANNC","D","All Hospitals and EMS Units","Hospital","Butler County (09) Fire/EMS/Hospitals"
9101,238d,"09 FD 10","D","Oxford Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9102,238e,"09 FD 20","D","Hamilton Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9103,238f,"09 FD 30","D","Fairfield City Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9104,2390,"09 FD 40","D","College Corner Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9105,2391,"09 FD 50","D","Trenton Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9106,2392,"09 FD 60","D","Monroe Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9107,2393,"09 FD 70","D","West Chester Twp Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9108,2394,"09 FD 80","D","Middletown Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9110,2396,"09 FD 100","D","Ross Twp Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9111,2397,"09 FD 110","D","Liberty Twp  Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9112,2398,"09 FD 120","D","Wayne Twp  Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9113,2399,"09 FD 130","D","Reily Twp  Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9114,239a,"09 FD 140","D","Morgan Twp  Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9115,239b,"09 FD 150","D","Madison Twp  Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9116,239c,"09 FD 160","D","Milford Twp  Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9117,239d,"09 FD 170","D","Seven Mile Village Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9118,239e,"09 FD 180","D","Hanover Twp  Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9119,239f,"09 FD 190","D","Somerville Fire Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9120,23a0,"09 FD 200","D","St Clair Twp  Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9121,23a1,"09 FD 210","D","Fairfield Twp  Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9122,23a2,"09 FD 220","D","New Miami Fire Alerting","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9123,23a3,"09 FD 230","D","St Clair Twp EMS Alerting","EMS Dispatch","Butler County (09) Fire/EMS/Hospitals"
9124,23a4,"09-TRN TCTL","DE","Training Tactical","Multi-Tac","Butler County (09) Common"
9125,23a5,"09-TRN TCT2","DE","Training Tactical 2","Multi-Tac","Butler County (09) Common"
9126,23a6,"09-TRN TCT3","DE","Training Tactical 3","Multi-Tac","Butler County (09) Common"
9127,23a7,"09-TRN REV4","DE","Training Revert 4","Multi-Tac","Butler County (09) Common"
9128,23a8,"09-TRN REV5","DE","Training Revert 5","Multi-Tac","Butler County (09) Common"
9129,23a9,"09-TRN HOTT","DE","Training Hot Mic","Multi-Tac","Butler County (09) Common"
9130,23aa,"09-9 BRAVO","D","County Fire Dispatch BRAVO (Hamilton FD)","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9131,23ab,"09 WC HOSP SEC","D","UC Health West Chester Hospital - Security","Security","Butler County (09) Fire/EMS/Hospitals"
9132,23ac,"09-TRN HOTR","DE","Training Hot Mic Revert","Multi-Tac","Butler County (09) Common"
9133,23ad,"09-3F Main","D","Fairfield City Fire Dispatch","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9135,23af,"09-5F Main","D","Trenton Fire Dispatch","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9136,23b0,"09-6F Main","D","Monroe Fire Dispatch","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9137,23b1,"09-7F Main","D","West Chester Fire Dispatch","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9138,23b2,"09-8F Main","D","Middletown Fire Dispatch","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
9139,23b3,"09-9 ALPHA","D","County Fire ALPHA","Fire Dispatch","Butler County (09) Fire/EMS/Hospitals"
